station_id,river,location,distance_from_murrayfield_km,catchment_area_km2,catalogue_missing_values_percent,nrfa_quality_status_v14,common_water_year_start,common_water_year_end,common_annual_maxima,qmed_common_period_m3s,specific_qmed_l_s_km2,annual_maximum_cv,pot_threshold_99_7_m3s,pot_events,pot_events_per_year,pot_circular_mean_date,pot_mean_resultant_length,pot_rayleigh_p_value
19006,Water of Leith,Murrayfield,0.0,107.0,0.0,Pooling,1994,2023,30,29.884,279.2897196261682,0.4220033207407936,18.178201000000115,99,3.134554057678259,06 December,0.38094683916508043,3.553899338660543e-07
19012,Water of Leith,Colinton,4.6919616366718095,72.0,0.0,Daily,1994,2023,30,22.8615,317.5208333333333,0.4725943117909864,13.393,109,3.5348304077557477,09 December,0.38367315474494745,6.189430721892231e-08
19017,Gogar Burn,Turnhouse,6.704564489957569,38.8,0.07,Pooling,1994,2023,30,12.77,329.1237113402062,0.39131047495494203,7.92,87,2.7617905388582926,23 November,0.35869251816451997,1.0015756931334719e-05
19004,North Esk,Dalmore Weir,11.839136623926594,81.6,0.24,Qmed,1994,2023,30,24.961,305.8946078431373,0.3498493695935986,16.258,108,3.419513517467192,13 December,0.4482412763204913,1.47577929380387e-10
19021,South Esk,Cowbridge,12.309895612879908,156.0,0.0,Pooling,1994,2023,30,37.0325,237.38782051282053,0.40724106361584184,22.64285600000061,71,2.2480256959237432,13 December,0.3980645968474573,8.707406084302765e-06
19005,Almond,Almondell,14.89730720633766,229.0,0.0,Pooling,1994,2023,30,93.3545,407.66157205240177,0.2772619538800248,55.933,91,2.881397262871772,05 December,0.4426736112375231,7.97265359673313e-09
20003,Tyne,Spilmersford,23.22952855742019,161.0,0.0,Pooling,1994,2023,30,38.574,239.59006211180125,0.5198218547381179,19.114,74,2.3470819987100775,21 November,0.32521154439605193,0.0003388965708236979
