term,estimate,bootstrap_lower_95,bootstrap_upper_95
intercept,2.245080493669264,0.7610714339752436,3.017994368064171
log_rainfall_72h,0.24813357195060387,0.08541775804882148,0.6028467804805562
log_antecedent_14d,0.027931652164532222,-0.07249923420596195,0.13094847288024608
season_sine,-0.03417383453596658,-0.12929357978787942,0.06779329113234131
season_cosine,0.0364017877869435,-0.08729212886925014,0.14738433335567283
