run_length_hours,threshold_m3s,independent_events,events_per_year,gpd_shape,gpd_scale_m3s,q100_m3s,rank_ljung_box_lags,rank_ljung_box_q,rank_ljung_box_p
24,18.178201000000115,109,3.4511756796659623,0.21039611797022637,6.802664981593953,96.29434481802927,5,2.789096609966154,0.7324613867562785
48,18.178201000000115,103,3.2612027064733407,0.1777477908577123,7.306350681072365,91.95612203586643,5,4.358207157603641,0.4990759093803814
72,18.178201000000115,99,3.134554057678259,0.17587820292411255,7.444483882209246,92.06564638449636,5,7.83833462491598,0.16537326827541216
96,18.178201000000115,98,3.102891895479489,0.16852646896587264,7.57249647842663,91.31260077039126,5,6.489531849292381,0.2614541992853774
120,18.178201000000115,96,3.0395675710819483,0.16570388833253696,7.693018529769602,91.3747982508105,5,2.035440845131307,0.8442197108345878
168,18.178201000000115,95,3.007905408883178,0.1562927862880093,7.849726256739027,90.38983304597073,5,1.189316303428257,0.9458982060375121
