rainfall_duration_hours,events,spearman_rho,spearman_p
24,79,0.5176799960899002,1.0307328865043332e-06
48,79,0.46143265863559896,1.8685119449865443e-05
72,79,0.5383117288284937,3.1067511261048325e-07
