model,return_period_years,flow_m3s,lower_95_m3s,median_m3s,upper_95_m3s
POT-GPD,2,31.043757052854613,28.238017692625405,30.93919214796105,34.279070020351575
POT-GPD,5,43.2195177099906,36.935623154360044,42.77145422005755,50.19686857816722
POT-GPD,10,52.72457316560067,42.600393596800075,51.67476105000787,64.72931887700256
POT-GPD,20,63.099874623722286,48.367869059050676,61.3214976495245,83.09643673419663
POT-GPD,50,78.63590766317216,55.17836238241792,75.46459148420148,115.17354520804597
POT-GPD,100,92.06564638449636,59.84036057099134,87.29465266506077,149.06584379360532
POT-GPD,200,107.191227986835,64.31008607359789,100.62279430565971,192.15393639601913
