flow_peak_datetime,peak_flow_m3s,rainfall_duration_10_90_hours,rainfall_duration_class,rainfall_peak_count,rainfall_structure,hydrograph_peak_count,hydrograph_structure,rainfall_centroid_to_flow_peak_hours,rising_limb_10_percent_hours,recession_half_time_hours
2008-10-25 22:30:00,28.767,48.0,prolonged,7,multi-burst,1,single-peak,16.916299761511652,7.5,4.25
2008-12-19 17:45:00,20.943,48.0,prolonged,4,multi-burst,2,multi-peak,19.088147833474935,4.5,4.75
2009-11-01 18:45:00,31.564,25.0,intermediate,3,multi-burst,1,single-peak,10.566634814252424,5.5,4.5
2009-11-19 11:00:00,21.827,55.0,prolonged,6,multi-burst,1,single-peak,19.782897044287857,14.5,14.0
2010-01-16 11:00:00,24.874,59.0,prolonged,3,multi-burst,2,multi-peak,18.17289868967722,15.5,8.25
2010-02-26 09:30:00,26.328,40.0,prolonged,6,multi-burst,1,single-peak,23.22949924600905,21.0,9.5
2010-03-30 19:45:00,29.665,39.0,prolonged,5,multi-burst,2,multi-peak,18.816082220893946,23.75,3.75
2010-12-11 02:45:00,23.698,4.0,concentrated,1,single-burst,1,single-peak,37.613036303630366,19.5,8.0
2011-02-07 12:00:00,26.97,67.0,prolonged,3,multi-burst,2,multi-peak,28.800966659627875,6.5,7.5
2011-03-14 09:45:00,18.77,62.0,prolonged,3,multi-burst,3,multi-peak,29.624892677542007,9.5,9.0
2011-07-16 19:30:00,26.885,15.0,intermediate,2,multi-burst,1,single-peak,10.213733277591963,1.75,3.75
2011-08-11 15:15:00,32.739,26.0,intermediate,3,multi-burst,2,multi-peak,15.859378484278928,19.0,6.25
2011-10-17 18:15:00,38.27,6.0,concentrated,1,single-burst,1,single-peak,5.705105198019794,3.75,2.75
2011-12-08 10:30:00,18.38,34.0,intermediate,2,multi-burst,2,multi-peak,18.439590281086225,4.5,4.0
2012-06-17 01:45:00,20.276,37.0,prolonged,3,multi-burst,1,single-peak,18.38567123031634,18.75,8.0
2012-06-22 07:45:00,19.079,15.0,intermediate,2,multi-burst,3,multi-peak,8.05767541451631,4.75,5.0
2012-07-07 08:30:00,48.645,63.0,prolonged,3,multi-burst,2,multi-peak,28.884810981098106,6.75,6.25
2012-09-26 08:45:00,22.154,39.0,prolonged,3,multi-burst,2,multi-peak,23.558950854647847,31.5,4.0
2012-10-12 08:15:00,24.656,14.0,intermediate,1,single-burst,1,single-peak,8.616731191121438,11.25,4.75
2012-10-16 12:45:00,20.305,57.0,prolonged,4,multi-burst,2,multi-peak,17.4672259114297,5.25,3.75
2013-12-30 15:00:00,28.404,67.0,prolonged,3,multi-burst,2,multi-peak,27.34648568323464,7.25,5.25
2014-12-22 07:45:00,19.759,59.0,prolonged,2,multi-burst,1,single-peak,17.51733808880369,9.25,6.75
2015-12-06 09:00:00,30.44,60.0,prolonged,6,multi-burst,4,multi-peak,33.8820161537675,64.0,8.0
2015-12-26 20:00:00,24.036,59.0,prolonged,4,multi-burst,2,multi-peak,26.939201515576762,17.0,7.25
2016-01-10 21:15:00,21.619,28.0,intermediate,4,multi-burst,5,multi-peak,15.425533506182674,22.25,5.75
2016-01-27 14:15:00,18.714,28.0,intermediate,3,multi-burst,2,multi-peak,19.119429778247095,30.0,5.25
