model,parameters,log_likelihood,aic,aicc,descriptive_ks_distance,probability_plot_correlation,delta_aicc,akaike_weight
Gumbel,2,-242.58201118193142,489.16402236386284,489.3674121943713,0.05102783323843946,0.99105450549193,0.0,0.49864669782236604
Log-Pearson III,3,-242.09594363746544,490.1918872749309,490.60568037837913,0.038210096419474704,0.992618363198584,1.2382681840078362,0.26847659282460135
GEV,3,-242.23819820094036,490.4763964018807,490.890189505329,0.040310522125536985,0.9923032441787802,1.5227773109576788,0.23287670935303248
