model,return_period_years,q100_all_years_m3s,q100_excluding_2017_m3s,absolute_change_m3s,relative_change_percent
GEV,100,102.20490525082235,104.49376686673432,2.2888616159119692,2.23948313468404
Gumbel,100,73.92002312983237,75.08166163091946,1.1616385010870829,1.5714801645107617
Log-Pearson III,100,96.48943427674412,99.00562955737317,2.5161952806290486,2.607741769334326
