threshold_quantile,threshold_m3s,independent_events,events_per_year,gpd_shape,gpd_scale_m3s,q100_m3s
0.995,15.042,141,4.464364870026611,0.11358087942806415,7.954580413288634,84.97474174914173
0.996,16.425,123,3.8944459504487465,0.1588850457876307,7.420604000263772,90.11144410526711
0.997,18.178201000000115,99,3.134554057678259,0.17587820292411255,7.444483882209246,92.06564638449636
0.998,20.82197200000007,69,2.1846891917151505,0.16938816254182074,8.079057714817644,91.80526110863735
0.999,25.945,39,1.2348243257520415,0.21350084130372654,8.253192694227389,95.26179458413026
