flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km
2002-11-15 00:00:00,35.104,2002-11-15 00:00:00,28.966,31.127000000000002,32.739999999999995,5.303999999999999,3.0,0.0,0.0,8.431
2004-02-01 22:30:00,18.77,2004-02-01 22:00:00,11.16,30.386999999999997,31.759999999999998,2.955,3.0,0.0,0.0,15.6414
2004-06-24 12:00:00,25.787,2004-06-24 12:00:00,47.128,70.152,71.307,5.175,24.0,0.4236986301369863,0.86,16.2875
2004-08-11 22:30:00,26.232,2004-08-11 22:00:00,8.949000000000002,26.919,51.885000000000005,7.082999999999999,53.0,0.026712328767123285,0.15,15.6414
2004-10-16 09:45:00,27.748,2004-10-16 09:00:00,25.837,31.494,36.129999999999995,3.865,6.0,0.0,0.0,15.6414
2005-01-08 07:15:00,22.244,2005-01-08 07:00:00,26.433,32.873999999999995,40.212,4.069,20.0,0.0,0.0,15.6414
2005-03-28 15:30:00,22.574,2005-03-28 15:00:00,24.157,30.339,31.202999999999996,3.281,1.0,0.003287671232876712,0.01,15.6414
2005-10-12 01:15:00,21.266,2005-10-12 01:00:00,52.513999999999996,56.894,57.189,8.771999999999998,4.0,0.27616438356164386,0.84,15.8312
2005-10-24 13:45:00,21.296,2005-10-24 13:00:00,25.169,29.975,36.733000000000004,5.594000000000001,2.0,0.0,0.0,15.8312
2006-11-15 22:30:00,20.218,2006-11-15 22:00:00,23.569000000000003,30.687,33.772999999999996,3.262,2.0,0.0,0.0,15.8312
2007-06-25 03:30:00,18.77,2007-06-25 03:00:00,18.92,34.919,36.098,3.923000000000001,40.0,0.0009589041095890412,0.01,15.8312
2007-08-19 06:00:00,24.376,2007-08-19 06:00:00,39.822,40.839,41.184,4.984,6.0,0.21095890410958903,0.64,15.8312
2007-11-21 20:00:00,22.514,2007-11-21 20:00:00,35.574,38.597,46.858000000000004,2.989,4.0,0.0,0.0,15.8312
2008-01-08 22:15:00,35.14,2008-01-08 22:00:00,13.233000000000002,28.872,29.319000000000003,4.874,3.0,0.0,0.0,15.8312
2008-02-29 18:45:00,20.507,2008-02-29 18:00:00,17.156,17.509,17.671,6.144000000000001,2.0,0.35178082191780824,0.99,15.8312
2008-08-07 03:00:00,34.64,2008-08-07 03:00:00,45.671,47.534,47.614999999999995,8.143,2.0,0.15452054794520548,0.47,15.8312
2008-08-20 01:45:00,19.107,2008-08-20 01:00:00,24.778,29.081999999999997,29.177999999999997,4.824,17.0,0.45082191780821923,1.0,15.8312
2008-10-25 22:30:00,28.767,2008-10-25 22:00:00,30.994,38.958,43.608000000000004,6.285999999999999,4.0,0.0,0.0,15.8312
2008-12-19 17:45:00,20.943,2008-12-19 17:00:00,16.657,24.317999999999998,28.248,5.488,4.0,0.0,0.0,15.8312
