model,parameters,log_likelihood,aic,aicc,descriptive_ks_distance,probability_plot_correlation,delta_aicc,akaike_weight
Log-Pearson III,3,-119.49466442852534,244.98932885705068,245.87821774593957,0.0749314803698572,0.9857129618433664,0.0,0.39192674307778025
GEV,3,-119.61300523128781,245.22601046257563,246.11489935146452,0.08031913209322639,0.9848640947433074,0.2366816055249501,0.348185066832158
Gumbel,2,-121.13564660069922,246.27129320139844,246.69986462996985,0.1261738915048915,0.9709818700119026,0.8216468840302866,0.25988819009006175
