flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km,month,season,water_year_angle,antecedent_7d_mm,antecedent_14d_mm,antecedent_30d_mm,antecedent_30d_anomaly_mm_per_day
1999-11-28 10:45:00,26.232,1999-11-28 10:00:00,27.627,43.167,43.948,4.836000000000001,2.0,0.0,0.0,7.3498,11,autumn,1.0033854951782974,4.420999999999999,4.734999999999999,62.558,-0.9884973333333331
1999-12-03 10:30:00,23.422,1999-12-03 10:00:00,23.809,26.111000000000004,30.825000000000003,3.111,4.0,0.0057534246575342,0.42,7.3498,12,winter,1.0890425353120354,60.52499999999999,61.31699999999999,115.513,0.6356836559139785
1999-12-12 08:15:00,35.714,1999-12-12 08:00:00,30.145,32.753,37.584,4.321,4.0,0.0,0.0,7.3498,12,winter,1.2419376695799813,59.615,123.487,128.26000000000002,1.060583655913979
1999-12-25 01:15:00,20.103,1999-12-25 01:00:00,17.022,21.483,24.431,5.337999999999999,4.0,0.0098630136986301,0.08,7.3498,12,winter,1.4601038260792727,10.408999999999999,74.312,184.166,2.924116989247312
2000-04-26 23:45:00,88.08,2000-04-26 23:00:00,56.97200000000001,93.83700000000002,97.899,6.949000000000001,5.0,0.0,0.0,8.431,4,spring,3.5877603261026882,24.168999999999997,55.576,73.053,0.4824180555555553
2000-11-07 11:45:00,50.571,2000-11-07 11:00:00,63.768,73.69800000000001,73.72,5.48,18.0,0.3024657534246575,0.96,15.5955,11,autumn,0.6453534223898211,18.386,48.66499999999999,111.439,0.6408693333333333
2000-12-08 08:15:00,31.667,2000-12-08 08:00:00,23.663,24.029,32.738,4.925,1.0,0.2202739726027397,0.67,15.5955,12,winter,1.1764834132535749,22.447000000000003,40.368,163.519,2.235883655913978
2001-02-06 21:30:00,24.656,2001-02-06 21:00:00,18.536,23.349,29.527999999999995,3.4210000000000003,12.0,0.1891780821917808,0.56,15.8312,2,winter,2.21883946892238,16.2,30.889999999999997,41.05,-1.1983687315634217
2001-03-11 23:45:00,20.017,2001-03-11 23:00:00,18.74,19.679,19.935,5.379000000000001,2.0,0.1541095890410959,0.39,8.431,3,spring,2.7885221093592962,1.2279999999999998,29.008000000000003,39.873,-0.700456451612903
2001-08-19 23:30:00,21.207,2001-08-19 23:00:00,31.496,40.827,41.35,4.994,4.0,0.2756164383561643,1.0,15.6414,8,summer,5.559830012397553,29.186999999999998,59.202999999999996,83.264,0.04929763440860224
2002-01-24 06:45:00,19.759,2002-01-24 06:00:00,21.246,23.169,26.88,3.047,2.0,0.0,0.0,8.431,1,winter,1.984475222447388,26.204,27.125,36.751999999999995,-1.9563311827956988
2002-08-03 05:00:00,23.728,2002-08-03 05:00:00,25.93,26.152,38.575,6.891,5.0,0.1446575342465753,0.44,15.8312,8,summer,5.271133427221779,29.648,72.451,92.08099999999999,0.34319763440860207
2002-10-22 20:15:00,38.53,2002-10-22 20:00:00,58.324,74.333,74.50200000000001,5.069999999999999,15.0,0.0843835616438356,0.44,8.431,10,autumn,0.3760228193252167,16.519,61.355999999999995,67.789,-0.9670427956989247
2002-11-15 00:00:00,35.104,2002-11-15 00:00:00,28.966,31.127,32.739999999999995,5.303999999999999,3.0,0.0,0.0,8.431,11,autumn,0.7746392844467983,20.86,37.146,178.552,2.8779693333333336
2004-02-01 22:30:00,18.77,2004-02-01 22:00:00,11.16,30.387,31.76,2.955,3.0,0.0,0.0,15.6414,2,winter,2.127656500023415,13.298000000000002,30.972,97.34799999999998,0.6782312684365781
2004-06-24 12:00:00,25.787,2004-06-24 12:00:00,47.128,70.152,71.307,5.175,24.0,0.4236986301369863,0.86,16.2875,6,summer,4.592218769591637,16.337,26.07,48.564,-0.7498946666666664
2004-08-11 22:30:00,26.232,2004-08-11 22:00:00,8.949000000000002,26.919,51.885000000000005,7.082999999999999,53.0,0.0267123287671232,0.15,15.6414,8,summer,5.423753710347133,21.032,25.924,40.552,-1.374435698924731
2004-10-16 09:45:00,27.748,2004-10-16 09:00:00,25.837,31.494,36.13,3.865,6.0,0.0,0.0,15.6414,10,autumn,0.2652063661335219,7.034999999999999,51.596,89.345,-0.24850946236559146
2005-01-08 07:15:00,22.244,2005-01-08 07:00:00,26.433,32.873999999999995,40.212,4.069,20.0,0.0,0.0,15.6414,1,winter,1.7094065506091038,27.421,51.366,79.344,-0.5365978494623658
