model,parameters,log_likelihood,aicc,delta_aicc,likelihood_ratio_vs_stationary,likelihood_ratio_df,likelihood_ratio_p,converged
stationary,3,-119.61300522978898,246.11489934846685,0.0,,,,True
location,4,-118.797529115549,247.13351976955954,1.0186204210926917,1.6309522284799698,1.0,0.20157139255839993,True
scale,4,-118.59931183492603,246.7370852083136,0.622185859846752,2.0273867897259095,1.0,0.15448603801112706,True
location_scale,5,-118.52291837709095,249.4458367541819,3.330937405715048,2.180173705396072,2.0,0.3361872936652001,True
